transaction_id,customer_id,transaction_amount,payment_status,failure_reason,payment_method,successful_payments,failed_payments,total_customer_spend,average_order_value,previous_recovery_attempts,previous_recovery_success,days_since_last_purchase,customer_tenure_days,recovered
txn_30932,cust_6423,22515.43,failed,expired_card,credit_card,18,3,77327.81999999999,4295.99,1,1,33,99,1
txn_42711,cust_2648,19644.25,failed,expired_card,debit_card,24,3,116902.79999999999,4870.95,1,1,110,112,1
txn_71135,cust_3869,24861.71,failed,insufficient_funds,credit_card,20,4,37914.0,1895.7,2,2,128,398,1
txn_50818,cust_5555,15926.5,failed,insufficient_funds,debit_card,44,3,196725.31999999998,4471.03,2,2,226,230,1
txn_15600,cust_8022,4921.31,failed,expired_card,credit_card,48,1,238718.40000000002,4973.3,1,0,46,547,0
txn_28711,cust_2060,8302.22,failed,card_declined,debit_card,32,4,49369.6,1542.8,0,0,161,700,1
txn_36641,cust_9319,13942.19,failed,authentication_failed,debit_card,45,8,50566.5,1123.7,2,1,663,872,1
txn_20729,cust_1154,21940.46,failed,expired_card,debit_card,47,7,72314.2,1538.6,2,1,408,811,0
txn_99912,cust_6625,15715.97,failed,insufficient_funds,credit_card,13,3,22830.34,1756.18,1,1,288,400,1
txn_62921,cust_1853,13588.98,failed,insufficient_funds,debit_card,48,4,13933.920000000002,290.29,2,1,101,342,1
txn_13051,cust_4124,24133.03,failed,card_declined,upi,29,3,93478.89,3223.41,0,0,370,992,1
txn_96672,cust_2693,10000.58,failed,card_declined,upi,36,5,17866.079999999998,496.28,2,0,129,346,1
txn_56175,cust_1512,13753.21,failed,expired_card,debit_card,0,7,0.0,0.0,0,0,790,885,1
txn_95067,cust_9130,14172.63,failed,insufficient_funds,credit_card,13,5,7297.81,561.37,1,1,204,285,1
txn_45247,cust_7617,20182.48,failed,insufficient_funds,debit_card,22,6,70663.12,3211.9599999999996,1,1,223,357,1
txn_19823,cust_3489,21419.42,failed,expired_card,credit_card,15,7,70902.45,4726.83,2,1,675,792,0
txn_80588,cust_5000,13663.14,failed,authentication_failed,credit_card,39,2,11345.880000000001,290.92,1,0,215,417,1
txn_98668,cust_9967,21129.64,failed,insufficient_funds,upi,6,4,20970.96,3495.16,1,0,75,617,0
txn_43496,cust_8587,20096.85,failed,insufficient_funds,credit_card,23,3,113930.04,4953.48,1,0,96,457,1
txn_42479,cust_8357,21467.4,failed,card_declined,upi,34,9,66329.58,1950.8700000000001,0,0,62,217,0
txn_60517,cust_1728,7476.0,failed,insufficient_funds,credit_card,40,3,21892.0,547.3,2,1,223,445,0
txn_70921,cust_5946,15814.34,failed,card_declined,credit_card,20,4,94727.0,4736.35,0,0,7,25,1
txn_31689,cust_6161,1486.09,failed,card_declined,debit_card,28,2,135698.92,4846.39,0,0,74,215,0
txn_87052,cust_8056,20970.1,failed,card_declined,credit_card,49,2,24431.89,498.61,0,0,339,393,1
txn_67854,cust_2365,22696.96,failed,card_declined,credit_card,30,3,117240.6,3908.02,1,0,91,252,1
txn_14748,cust_5268,10159.79,failed,card_declined,upi,40,7,150224.8,3755.62,0,0,348,456,1
txn_38016,cust_2214,2118.14,failed,card_declined,debit_card,43,5,13444.380000000001,312.66,0,0,11,58,0
txn_27640,cust_7190,5459.39,failed,insufficient_funds,netbanking,2,7,645.38,322.69,1,1,358,566,1
txn_39703,cust_1667,4283.51,failed,expired_card,credit_card,49,5,238851.97,4874.53,2,1,145,316,1
txn_67043,cust_7132,15089.41,failed,insufficient_funds,credit_card,5,2,10707.650000000001,2141.53,0,0,450,547,1
txn_33793,cust_9989,13812.12,failed,insufficient_funds,debit_card,0,2,0.0,0.0,0,0,267,374,1
txn_72680,cust_5158,24249.36,failed,network_error,upi,40,3,30235.2,755.88,0,0,518,610,1
txn_90642,cust_6989,13908.02,failed,suspected_fraud,netbanking,18,1,23063.76,1281.32,0,0,366,458,0
txn_27100,cust_5780,5220.33,failed,network_error,upi,27,8,5635.17,208.71,1,1,3,34,1
txn_52944,cust_5363,13820.08,failed,card_declined,upi,16,7,60802.72,3800.17,0,0,578,825,1
txn_16949,cust_7881,15221.79,failed,expired_card,debit_card,33,4,91822.17,2782.49,0,0,335,435,1
txn_62329,cust_5854,21565.97,failed,authentication_failed,credit_card,16,1,21846.4,1365.4,0,0,34,184,1
txn_79836,cust_6569,5267.81,failed,card_declined,credit_card,22,7,65237.7,2965.35,2,1,16,111,0
txn_93807,cust_9472,11875.34,failed,expired_card,credit_card,18,5,16700.04,927.7800000000001,1,0,534,634,1
txn_26907,cust_7376,5198.03,failed,insufficient_funds,debit_card,26,9,14357.720000000001,552.22,2,0,214,813,1
txn_29262,cust_7493,9463.28,failed,insufficient_funds,upi,48,3,48199.2,1004.15,2,2,7,8,1
txn_38699,cust_9717,9254.4,failed,card_declined,upi,6,3,26919.06,4486.51,1,0,508,526,0
txn_98869,cust_8673,13338.8,failed,insufficient_funds,credit_card,27,7,45311.130000000005,1678.1900000000003,2,1,474,485,1
txn_13596,cust_5632,14860.13,failed,expired_card,upi,17,4,46440.94,2731.82,1,0,8,109,1
txn_82274,cust_7891,9500.38,failed,insufficient_funds,upi,33,8,83866.53,2541.41,1,0,289,320,1
txn_11605,cust_2733,6186.65,failed,insufficient_funds,credit_card,29,8,130330.34999999999,4494.15,2,2,243,830,1
txn_86323,cust_5324,24931.53,failed,network_error,debit_card,3,6,14633.49,4877.83,1,1,51,75,0
txn_10846,cust_5289,13399.17,failed,card_declined,upi,5,6,17918.35,3583.6699999999996,0,0,532,645,0
txn_88477,cust_3048,7251.33,failed,card_declined,credit_card,12,3,4247.28,353.94,1,1,10,868,1
txn_49809,cust_3219,8092.73,failed,network_error,credit_card,8,1,5374.48,671.81,2,1,419,613,1
txn_93524,cust_8984,20773.95,failed,authentication_failed,credit_card,10,9,11045.1,1104.51,2,2,1,376,1
txn_97388,cust_6951,3537.32,failed,suspected_fraud,credit_card,34,5,34454.92,1013.38,2,2,78,798,0
txn_26984,cust_5227,21936.15,failed,insufficient_funds,upi,39,3,123165.9,3158.1,0,0,23,295,1
txn_77728,cust_3712,22494.39,failed,insufficient_funds,debit_card,39,3,107638.44,2759.96,1,1,579,616,1
txn_97487,cust_9135,4209.93,failed,network_error,debit_card,38,4,189570.21999999997,4988.69,0,0,97,478,1
txn_12336,cust_1950,886.63,failed,card_declined,upi,9,1,5438.61,604.29,0,0,159,635,0
txn_74435,cust_7359,9962.32,failed,suspected_fraud,credit_card,3,2,479.40000000000003,159.8,2,2,36,47,0
txn_81315,cust_3116,4580.86,failed,authentication_failed,debit_card,22,8,56734.7,2578.85,0,0,623,712,1
txn_49915,cust_4531,14150.07,failed,expired_card,netbanking,41,1,119876.20999999999,2923.81,1,0,51,840,0
txn_13797,cust_4368,22771.62,failed,insufficient_funds,credit_card,45,4,31988.25,710.85,0,0,1,346,0
txn_49282,cust_5662,14802.32,failed,insufficient_funds,credit_card,9,4,35641.53,3960.17,1,0,35,137,1
txn_83509,cust_1536,8691.33,failed,insufficient_funds,upi,42,3,55285.02,1316.31,0,0,180,529,1
txn_56240,cust_6975,9091.73,failed,card_declined,debit_card,49,5,128593.15,2624.35,0,0,84,156,1
txn_62853,cust_5243,21522.77,failed,card_declined,credit_card,0,7,0.0,0.0,2,1,32,327,0
txn_52460,cust_5524,11828.07,failed,card_declined,credit_card,46,2,122797.46,2669.51,0,0,114,590,1
txn_75155,cust_5926,4589.11,failed,network_error,netbanking,9,3,29300.399999999998,3255.6,0,0,87,800,0
txn_91244,cust_4462,10229.21,failed,card_declined,credit_card,7,6,12337.01,1762.43,0,0,579,983,1
txn_89111,cust_4675,2531.06,failed,insufficient_funds,upi,45,4,212742.44999999998,4727.61,1,0,14,120,1
txn_57057,cust_1943,374.4,failed,insufficient_funds,credit_card,47,3,138974.30000000002,2956.9000000000005,1,1,129,147,1
txn_95514,cust_7035,6522.61,failed,insufficient_funds,debit_card,19,5,34037.36,1791.44,1,0,226,396,0
txn_27771,cust_6986,3545.82,failed,network_error,debit_card,31,1,76737.70999999999,2475.41,0,0,526,727,1
txn_70774,cust_5033,5489.68,failed,expired_card,debit_card,28,2,40160.68,1434.31,2,1,146,666,1
txn_67384,cust_6475,6887.68,failed,card_declined,debit_card,11,7,6844.64,622.24,1,0,27,378,1
txn_39402,cust_1645,14955.46,failed,expired_card,debit_card,9,1,19367.82,2151.98,1,1,46,455,1
txn_48709,cust_4067,18463.94,failed,insufficient_funds,debit_card,28,5,117647.31999999999,4201.69,2,0,187,794,1
txn_38769,cust_2333,9946.4,failed,authentication_failed,credit_card,32,4,87847.36,2745.23,2,2,244,312,1
txn_34058,cust_8101,14941.23,failed,insufficient_funds,upi,8,9,14580.4,1822.55,0,0,217,501,0
txn_65337,cust_2639,11519.05,failed,insufficient_funds,credit_card,43,3,61640.93,1433.51,1,1,19,108,1
txn_16960,cust_5090,3463.62,failed,authentication_failed,debit_card,11,8,41977.32,3816.12,2,0,81,815,1
txn_68053,cust_3421,24515.39,failed,authentication_failed,debit_card,25,9,118147.25000000001,4725.89,2,1,16,571,0
txn_66276,cust_6913,11856.59,failed,insufficient_funds,credit_card,8,3,37036.32,4629.54,1,0,477,519,1
txn_61571,cust_6085,21121.51,failed,insufficient_funds,upi,13,8,15951.52,1227.04,0,0,98,273,0
txn_30662,cust_3983,10141.91,failed,card_declined,upi,28,6,46532.920000000006,1661.89,1,0,16,516,0
txn_62393,cust_9502,24759.02,failed,insufficient_funds,credit_card,31,3,13737.65,443.15,1,1,29,274,1
txn_72187,cust_9436,15706.26,failed,network_error,netbanking,29,9,50698.38,1748.2199999999998,0,0,65,266,1
txn_43933,cust_3050,7460.22,failed,network_error,upi,24,1,109455.84,4560.66,2,0,140,293,0
txn_55028,cust_2828,2280.8,failed,card_declined,upi,23,2,21124.81,918.47,2,0,63,302,1
txn_44157,cust_4564,5805.21,failed,insufficient_funds,credit_card,2,8,3631.22,1815.61,0,0,54,753,0
txn_56600,cust_3736,23197.42,failed,authentication_failed,credit_card,34,2,85231.54,2506.81,0,0,216,490,0
txn_71413,cust_8906,15592.29,failed,expired_card,credit_card,13,5,7127.7699999999995,548.29,0,0,323,580,1
txn_98801,cust_2218,21560.08,failed,network_error,debit_card,10,2,21014.2,2101.42,2,1,251,261,1
txn_19903,cust_9228,17097.31,failed,insufficient_funds,upi,44,3,182201.36,4140.94,1,1,27,40,1
txn_96231,cust_2312,19945.78,failed,expired_card,upi,47,9,81622.08,1736.64,0,0,345,571,1
txn_79274,cust_5286,18830.28,failed,insufficient_funds,upi,30,7,3756.2999999999997,125.21,2,0,670,826,0
txn_58845,cust_3403,18928.06,failed,insufficient_funds,credit_card,45,1,127945.79999999999,2843.24,2,1,448,525,1
txn_80981,cust_2007,7119.41,failed,insufficient_funds,debit_card,27,5,16262.099999999999,602.3,1,1,731,994,1
txn_19077,cust_9073,8679.78,failed,expired_card,credit_card,13,4,42550.43,3273.11,0,0,7,306,1
txn_41598,cust_8813,12241.65,failed,suspected_fraud,debit_card,33,2,164535.03,4985.91,0,0,99,538,0
txn_78878,cust_1038,19880.5,failed,expired_card,credit_card,46,4,152126.6,3307.1,2,2,81,130,0
txn_63268,cust_1988,22742.64,failed,network_error,netbanking,4,3,6514.24,1628.56,1,1,527,659,1
txn_92711,cust_4056,9244.73,failed,network_error,debit_card,45,9,196031.25,4356.25,0,0,520,584,0
txn_40707,cust_4633,495.65,failed,suspected_fraud,credit_card,2,4,8006.06,4003.03,0,0,206,536,0
txn_44531,cust_2875,13982.4,failed,insufficient_funds,credit_card,1,8,2222.91,2222.91,0,0,721,726,1
txn_36589,cust_9465,9842.71,failed,card_declined,debit_card,10,9,43146.0,4314.6,1,0,392,544,1
txn_56167,cust_4762,3690.76,failed,insufficient_funds,debit_card,15,6,46934.4,3128.96,0,0,202,463,0
txn_59153,cust_9032,13379.34,failed,network_error,credit_card,25,6,41956.5,1678.26,1,0,90,589,1
txn_75641,cust_4041,4228.69,failed,insufficient_funds,debit_card,5,9,23437.199999999997,4687.44,2,2,416,963,1
txn_36289,cust_9907,15651.35,failed,suspected_fraud,debit_card,6,4,16858.260000000002,2809.7100000000005,1,1,22,383,0
txn_66446,cust_1514,13183.75,failed,expired_card,credit_card,22,9,96178.28,4371.74,1,0,7,12,0
txn_93847,cust_5780,21802.23,failed,card_declined,credit_card,17,6,61609.53,3624.09,1,0,352,812,1
txn_55500,cust_9946,1851.35,failed,insufficient_funds,credit_card,48,5,175830.24,3663.1299999999997,0,0,24,332,1
txn_49443,cust_4453,12645.88,failed,card_declined,debit_card,35,5,71330.7,2038.02,1,0,418,617,0
txn_55241,cust_2394,22813.47,failed,insufficient_funds,debit_card,20,1,14893.599999999999,744.68,1,0,298,552,1
txn_59153,cust_7477,4565.37,failed,network_error,debit_card,46,8,135199.98,2939.13,1,0,145,318,1
txn_77649,cust_9219,21456.76,failed,insufficient_funds,debit_card,35,7,81324.95000000001,2323.57,2,1,195,460,1
txn_86619,cust_6724,20730.64,failed,card_declined,credit_card,11,1,14711.29,1337.39,1,1,284,683,1
txn_61886,cust_7052,16611.92,failed,card_declined,upi,27,6,29932.739999999998,1108.62,0,0,334,556,0
txn_37420,cust_1281,16018.07,failed,insufficient_funds,credit_card,4,1,10341.8,2585.45,1,1,42,59,1
txn_11239,cust_3289,17164.9,failed,insufficient_funds,credit_card,38,8,99803.96,2626.42,1,0,428,797,1
txn_32911,cust_7294,3361.23,failed,insufficient_funds,netbanking,7,2,7160.37,1022.91,2,0,352,892,1
txn_58320,cust_2198,20960.98,failed,authentication_failed,debit_card,17,1,70912.1,4171.3,2,0,76,114,1
txn_64061,cust_5440,22971.01,failed,expired_card,netbanking,47,5,137625.87,2928.21,1,1,575,654,0
txn_97128,cust_8848,21775.3,failed,suspected_fraud,debit_card,10,4,32875.100000000006,3287.5100000000007,1,1,132,489,0
txn_83297,cust_4553,21953.38,failed,insufficient_funds,upi,23,6,75450.81,3280.47,0,0,65,641,1
txn_19108,cust_5806,9541.47,failed,card_declined,debit_card,48,3,58253.759999999995,1213.62,1,0,622,736,1
txn_87576,cust_3989,9525.66,failed,network_error,debit_card,27,5,110361.15,4087.45,0,0,12,454,1
txn_21556,cust_5399,6189.44,failed,card_declined,credit_card,5,2,18029.55,3605.91,2,0,21,343,0
txn_69182,cust_5431,1828.44,failed,authentication_failed,debit_card,14,4,65502.36,4678.74,1,0,34,51,1
txn_17151,cust_1963,13100.96,failed,expired_card,netbanking,34,8,55263.94,1625.41,1,1,2,156,1
txn_96365,cust_7787,4569.68,failed,expired_card,credit_card,30,7,46405.799999999996,1546.86,0,0,445,909,0
txn_22149,cust_9227,20159.51,failed,card_declined,credit_card,46,7,148401.98,3226.13,0,0,214,362,1
txn_47384,cust_4097,16182.82,failed,insufficient_funds,credit_card,7,8,12822.32,1831.76,1,0,293,682,1
txn_65826,cust_7807,21286.8,failed,expired_card,upi,35,1,76206.55,2177.33,0,0,687,915,1
txn_27633,cust_4179,11848.65,failed,card_declined,credit_card,14,3,43046.64,3074.7599999999998,2,1,590,805,1
txn_17421,cust_9632,3587.27,failed,insufficient_funds,debit_card,2,6,4568.76,2284.38,0,0,459,658,0
txn_70946,cust_3349,15100.32,failed,insufficient_funds,netbanking,45,4,23387.850000000002,519.73,0,0,73,621,1
txn_78008,cust_6189,15448.04,failed,card_declined,upi,4,5,5714.48,1428.62,1,0,812,956,0
txn_84069,cust_8426,16753.7,failed,authentication_failed,debit_card,34,2,77762.42,2287.13,1,1,186,209,0
txn_35592,cust_4374,4303.42,failed,card_declined,debit_card,15,1,23612.7,1574.18,2,1,45,55,1
txn_58231,cust_7770,549.66,failed,expired_card,upi,29,5,16105.150000000001,555.35,1,1,231,321,0
txn_86559,cust_2012,12695.62,failed,insufficient_funds,credit_card,32,7,44456.0,1389.25,1,0,341,804,1
txn_65114,cust_3496,20640.89,failed,insufficient_funds,netbanking,5,3,19763.75,3952.75,2,1,316,466,0
txn_22329,cust_5107,13516.33,failed,expired_card,debit_card,13,6,10299.38,792.26,2,1,73,670,1
txn_16721,cust_8842,3887.09,failed,insufficient_funds,netbanking,9,9,26264.7,2918.3,0,0,822,978,1
txn_15901,cust_9286,3522.99,failed,network_error,upi,2,3,4106.9,2053.45,0,0,141,436,1
txn_27347,cust_3964,3422.4,failed,authentication_failed,debit_card,31,4,69861.91,2253.61,2,1,672,800,1
txn_70545,cust_5349,16272.52,failed,insufficient_funds,credit_card,33,9,12705.0,385.0,2,1,253,467,1
txn_47846,cust_9648,6017.54,failed,insufficient_funds,credit_card,45,3,43697.7,971.06,0,0,4,190,1
txn_33312,cust_6671,5854.51,failed,insufficient_funds,credit_card,37,7,135018.91999999998,3649.1599999999994,0,0,116,420,1
txn_61196,cust_1767,8888.19,failed,card_declined,debit_card,36,6,173618.27999999997,4822.73,2,1,62,455,1
txn_83294,cust_3293,14574.6,failed,expired_card,credit_card,0,5,0.0,0.0,0,0,213,901,0
txn_10671,cust_5268,12221.96,failed,insufficient_funds,debit_card,20,4,28069.8,1403.49,0,0,510,703,1
txn_43361,cust_5719,11926.65,failed,insufficient_funds,credit_card,41,5,196205.09,4785.49,0,0,105,422,1
txn_43160,cust_4191,23573.64,failed,network_error,credit_card,9,2,2594.61,288.29,0,0,28,97,1
txn_38602,cust_1775,11280.6,failed,insufficient_funds,upi,23,3,14211.699999999999,617.9,0,0,87,855,1
txn_70920,cust_5940,18667.87,failed,expired_card,upi,23,1,110097.78,4786.86,0,0,232,483,1
txn_58355,cust_1365,8775.1,failed,suspected_fraud,debit_card,42,5,117311.04,2793.12,1,1,520,540,0
txn_33888,cust_7511,7421.35,failed,suspected_fraud,debit_card,14,2,2115.4,151.1,1,1,590,962,0
txn_71558,cust_9569,1096.68,failed,authentication_failed,upi,26,8,17118.14,658.39,0,0,160,652,1
txn_26905,cust_9714,8489.77,failed,authentication_failed,credit_card,39,9,35179.95,902.05,1,1,172,665,1
txn_94080,cust_1685,16162.98,failed,insufficient_funds,upi,38,1,51919.78,1366.31,2,1,149,631,1
txn_33911,cust_1301,13967.44,failed,insufficient_funds,credit_card,21,6,103422.48,4924.88,1,1,29,256,1
txn_65731,cust_5558,20453.74,failed,insufficient_funds,debit_card,43,6,118549.28,2756.96,0,0,56,88,1
txn_93986,cust_2653,3831.66,failed,insufficient_funds,debit_card,36,8,85018.68000000001,2361.63,0,0,261,281,0
txn_72946,cust_7019,10067.28,failed,network_error,credit_card,20,7,62267.799999999996,3113.39,1,0,9,10,1
txn_20805,cust_3649,20825.38,failed,insufficient_funds,upi,19,3,80287.34999999999,4225.65,1,1,211,437,0
txn_19596,cust_3179,16101.96,failed,suspected_fraud,credit_card,36,6,76386.59999999999,2121.85,2,0,38,154,0
txn_47804,cust_2080,2370.12,failed,card_declined,debit_card,2,8,1220.54,610.27,1,0,500,526,0
txn_26029,cust_1161,20134.48,failed,insufficient_funds,upi,45,3,17410.5,386.9,0,0,76,817,1
txn_23428,cust_6093,19725.94,failed,card_declined,debit_card,29,7,107415.42,3703.98,0,0,146,740,0
txn_94730,cust_2136,20044.1,failed,suspected_fraud,upi,44,1,95221.28,2164.12,2,2,15,118,0
txn_67418,cust_3125,18512.66,failed,authentication_failed,credit_card,9,2,8189.460000000001,909.94,2,0,350,500,1
txn_63072,cust_3757,23243.94,failed,suspected_fraud,credit_card,45,3,87609.6,1946.88,0,0,49,547,0
txn_36201,cust_9895,2061.01,failed,expired_card,debit_card,23,9,3092.12,134.44,0,0,182,641,0
txn_47051,cust_8531,10000.96,failed,authentication_failed,debit_card,29,8,11007.53,379.57000000000005,1,1,220,725,1
txn_29675,cust_2974,19688.81,failed,authentication_failed,credit_card,41,9,160141.08000000002,3905.8800000000006,0,0,813,991,1
txn_50785,cust_3643,22665.61,failed,insufficient_funds,debit_card,26,7,13610.48,523.48,2,1,672,929,1
txn_87454,cust_2171,22059.28,failed,insufficient_funds,upi,13,9,32798.48,2522.96,0,0,82,888,1
txn_44521,cust_4670,4820.21,failed,insufficient_funds,credit_card,11,9,10964.58,996.78,0,0,178,853,0
txn_25352,cust_7633,21272.87,failed,card_declined,debit_card,33,9,131317.88999999998,3979.3299999999995,0,0,529,573,1
txn_88021,cust_2517,21180.62,failed,card_declined,credit_card,47,9,158775.87,3378.21,1,1,16,22,1
txn_84071,cust_4750,19684.9,failed,insufficient_funds,credit_card,48,7,209926.08000000002,4373.46,1,0,68,611,0
txn_82055,cust_6774,3200.03,failed,expired_card,credit_card,26,9,73967.14,2844.89,1,0,447,782,1
txn_23565,cust_6879,8624.4,failed,insufficient_funds,credit_card,5,7,16591.1,3318.22,0,0,123,227,1
txn_12551,cust_7852,4708.75,failed,insufficient_funds,credit_card,35,5,112330.75,3209.45,2,0,47,297,1
txn_47991,cust_3285,13028.75,failed,card_declined,debit_card,6,3,11275.14,1879.1899999999998,2,1,363,386,0
txn_99087,cust_4200,9124.14,failed,expired_card,upi,3,6,14526.0,4842.0,2,0,524,613,1
txn_64400,cust_8183,10473.14,failed,authentication_failed,debit_card,33,4,164527.44,4985.68,1,0,59,269,1
txn_19752,cust_9004,2371.11,failed,insufficient_funds,upi,4,3,4073.28,1018.32,0,0,265,666,0
txn_40930,cust_1645,19001.58,failed,authentication_failed,netbanking,43,9,79688.03,1853.21,1,1,131,364,0
txn_46116,cust_5079,2867.93,failed,insufficient_funds,upi,33,9,122904.87,3724.39,1,1,75,675,1
txn_82516,cust_7416,20164.59,failed,network_error,credit_card,19,2,32167.19,1693.01,2,2,201,289,1
txn_31447,cust_7144,1863.14,failed,insufficient_funds,credit_card,24,6,44780.399999999994,1865.8499999999997,0,0,227,442,0
txn_18179,cust_1948,23460.71,failed,network_error,upi,12,2,39465.24,3288.77,1,0,219,867,1
txn_93297,cust_4674,11204.04,failed,card_declined,upi,34,3,166134.88,4886.32,1,0,596,840,1
txn_33383,cust_1423,728.02,failed,authentication_failed,credit_card,45,3,186641.55000000002,4147.59,2,0,28,83,1
txn_58200,cust_8230,7653.54,failed,network_error,credit_card,13,8,46124.78,3548.06,0,0,676,943,1
txn_59416,cust_1285,359.48,failed,card_declined,credit_card,34,9,53366.399999999994,1569.6,1,0,196,203,0
txn_24849,cust_1987,16711.73,failed,card_declined,upi,15,1,22468.800000000003,1497.9200000000003,2,2,64,127,0
txn_59812,cust_2492,1637.84,failed,network_error,debit_card,8,9,27032.64,3379.08,0,0,482,929,0
txn_42174,cust_8468,2101.07,failed,authentication_failed,debit_card,40,3,178934.4,4473.36,0,0,406,527,1
txn_71944,cust_8986,17580.71,failed,insufficient_funds,debit_card,3,6,11865.24,3955.08,2,1,492,540,0
txn_21190,cust_2185,24596.82,failed,insufficient_funds,debit_card,24,2,44953.92,1873.08,1,1,27,214,1
txn_39033,cust_4451,24289.74,failed,insufficient_funds,debit_card,13,3,29803.670000000002,2292.59,0,0,141,424,1
txn_68557,cust_2325,20841.26,failed,network_error,credit_card,20,5,58060.8,2903.04,1,1,363,807,1
txn_60952,cust_7376,20426.22,failed,insufficient_funds,upi,38,7,166580.21999999997,4383.69,0,0,704,789,0
txn_93276,cust_6002,23239.2,failed,insufficient_funds,credit_card,11,8,50020.19,4547.29,0,0,13,19,1
txn_32432,cust_4311,20603.57,failed,authentication_failed,upi,24,7,86786.4,3616.1,2,2,324,520,1
txn_26977,cust_9611,2352.51,failed,card_declined,debit_card,32,3,58828.16,1838.38,2,1,63,113,1
txn_61649,cust_1201,22206.57,failed,card_declined,debit_card,8,9,6849.44,856.18,2,1,514,563,0
txn_16031,cust_1386,24782.02,failed,network_error,debit_card,34,1,17459.68,513.52,2,1,213,268,1
txn_82982,cust_5318,20427.24,failed,insufficient_funds,credit_card,17,4,57758.18,3397.54,2,0,53,107,0
txn_52849,cust_4259,9636.78,failed,card_declined,debit_card,22,8,98104.38,4459.29,1,0,36,41,0
txn_98503,cust_4361,4182.43,failed,expired_card,credit_card,0,4,0.0,0.0,1,1,419,833,1
txn_18767,cust_2829,15164.19,failed,insufficient_funds,credit_card,37,1,22783.489999999998,615.77,0,0,109,204,0
txn_52359,cust_8069,24437.43,failed,card_declined,credit_card,26,6,120526.12,4635.62,2,1,563,666,1
txn_63161,cust_7268,22507.08,failed,insufficient_funds,netbanking,34,7,77391.82,2276.23,1,1,201,869,0
txn_73918,cust_5154,3832.03,failed,insufficient_funds,netbanking,3,5,2565.93,855.31,0,0,162,278,1
txn_15498,cust_5916,20971.8,failed,insufficient_funds,upi,48,5,85344.0,1778.0,0,0,44,109,1
txn_85250,cust_5931,4172.79,failed,card_declined,netbanking,46,2,114797.59999999999,2495.6,2,0,273,909,0
txn_84965,cust_9017,14255.97,failed,expired_card,credit_card,7,5,17011.26,2430.18,1,0,64,853,1
txn_36421,cust_9458,13358.0,failed,network_error,credit_card,38,5,151681.94,3991.63,0,0,46,395,1
txn_70011,cust_1882,12111.02,failed,network_error,debit_card,35,6,93099.3,2659.98,1,1,407,762,1
txn_46593,cust_3808,18156.63,failed,network_error,debit_card,46,4,186405.34,4052.29,2,2,329,604,1
txn_18016,cust_8084,16022.95,failed,insufficient_funds,credit_card,37,3,84980.12000000001,2296.76,0,0,494,575,1
txn_61919,cust_9182,19076.78,failed,authentication_failed,credit_card,9,5,16719.39,1857.71,1,0,664,835,1
txn_66622,cust_5152,24764.12,failed,insufficient_funds,netbanking,6,7,1898.34,316.39,0,0,37,488,0
txn_96156,cust_6668,18848.03,failed,suspected_fraud,debit_card,0,4,0.0,0.0,2,2,9,127,0
txn_18605,cust_8427,661.24,failed,insufficient_funds,debit_card,12,2,1557.96,129.83,2,2,358,910,1
